,tconst,nconst,category
328,tt0090756,nm0000186,director
329,tt0086960,nm0000976,director
330,tt0172493,nm0003506,director
331,tt0099810,nm0001532,director
332,tt0117705,nm0701592,director
333,tt0080455,nm0000484,director
334,tt0120082,nm0000127,director
335,tt0158983,nm0005295,director
336,tt0109506,nm0001639,director
337,tt0118929,nm0001639,director
338,tt0120630,nm0520485,director
339,tt0120630,nm0661910,director
340,tt0084602,nm0000230,director
341,tt0074285,nm0000361,director
342,tt0118571,nm0000583,director
343,tt0114898,nm0721817,director
344,tt0088846,nm0000416,director
345,tt0102798,nm0721817,director
346,tt0106856,nm0001708,director
347,tt0143145,nm0000776,director
348,tt0094012,nm0000316,director
349,tt0094625,nm0960028,director
350,tt0130827,nm0878756,director
351,tt0139134,nm0474955,director
352,tt0091064,nm0000343,director
353,tt0056869,nm0000033,director
354,tt0102685,nm0000941,director
355,tt0111282,nm0000386,director
356,tt0120347,nm0006854,director
357,tt0114148,nm0300265,director
358,tt0114148,nm0325196,director
359,tt0183790,nm0001338,director
360,tt0058150,nm0357891,director
361,tt0120685,nm0000386,director
362,tt0116209,nm0005237,director
363,tt0113247,nm0440913,director
364,tt0082694,nm0004306,director
365,tt0106677,nm0000500,director
366,tt0241303,nm0002120,director
367,tt0053604,nm0000697,director
368,tt0120863,nm0000517,director
369,tt0061852,nm0718627,director
370,tt0119081,nm0027271,director
371,tt0063442,nm0769874,director
372,tt0142688,nm0000591,director
373,tt0120746,nm0132709,director
374,tt0112851,nm0001675,director
375,tt0128445,nm0027572,director
376,tt0106308,nm0000600,director
377,tt0160127,nm0629334,director
378,tt0106697,nm0104193,director
379,tt0122690,nm0001239,director
380,tt0096754,nm0000116,director
381,tt0244244,nm0784061,director
382,tt0054698,nm0001175,director
383,tt0108160,nm0001188,director
384,tt0120647,nm0001460,director
385,tt0072271,nm0001361,director
386,tt0104691,nm0000520,director
387,tt0097733,nm0001149,director
388,tt0146882,nm0001241,director
389,tt0078346,nm0001149,director
390,tt0107207,nm0006487,director
391,tt0061512,nm0742341,director
392,tt0200465,nm0002044,director
393,tt0095705,nm0001878,director
394,tt0145681,nm0637518,director
395,tt0058331,nm0829038,director
396,tt0072684,nm0000040,director
397,tt0100403,nm0394280,director
398,tt0101272,nm0001756,director
399,tt0110322,nm0001880,director
400,tt0138704,nm0004716,director
401,tt0092067,nm0594503,director
