,tconst,liste_realisateurs,liste_acteurs,TitreOriginal,anneeSortie,duree,genres,noteMoyenne,nbVotes,titreVF,types,id,original_language,notePonderee
1884,tt1130993,['nm0876146'],"['nm0000606', 'nm0880484', 'nm0320209', 'nm0098793', 'nm0789343', 'nm0319810', 'nm0149987', 'nm0624536', 'nm0872433', 'nm0325141']",Ultimate Heist,2009,95,"['Action', 'Crime', 'Drama']",5.4,3611,Le premier cercle,imdbDisplay,15638,fr,4.86
1885,tt1235552,['nm0109885'],"['nm3018114', 'nm0082749', 'nm3181055', 'nm2226143', 'nm0157255', 'nm2395940', 'nm3185258', 'nm0704474', 'nm3184466']",À l'aventure,2008,104,"['Drama', 'Fantasy', 'Romance']",5.4,2383,À l'aventure,imdbDisplay,64124,fr,4.86
1886,tt2978426,['nm0551217'],"['nm0000521', 'nm0115730', 'nm0932870', 'nm0890233', 'nm0603586', 'nm0500977', 'nm0547339', 'nm0105317', 'nm0674816', 'nm0218615']","Sex, Love & Therapy",2014,88,"['Comedy', 'Romance']",5.4,2406,Tu veux... ou tu veux pas?,imdbDisplay,289153,fr,4.86
1887,tt3013930,['nm2605386'],"['nm0234715', 'nm1833453', 'nm0320721', 'nm1213364', 'nm1817061', 'nm1503625', 'nm0851658', 'nm0651451', 'nm5818071', 'nm1536663']",Hot Dog,2013,94,"['Comedy', 'Crime']",5.4,3099,Hot Dog,imdbDisplay,208876,fr,4.86
1888,tt7598076,['nm0422367'],"['nm4374524', 'nm2671105', 'nm3118835', 'nm3874127', 'nm0142972', 'nm0217783', 'nm7432884', 'nm6077431', 'nm3718145', 'nm4044784']",Curiosa,2019,107,"['Biography', 'Drama', 'History']",5.4,4132,Curiosa,imdbDisplay,487616,fr,4.86
1889,tt0884335,['nm2182866'],"['nm0243355', 'nm0346994', 'nm0445715', 'nm0858048', 'nm0674816', 'nm0276567', 'nm0276567', 'nm0938381', 'nm0000872', 'nm0496241', 'nm0496285']",Chrysalis,2007,94,"['Crime', 'Drama', 'Sci-Fi']",5.4,3009,Chrysalis,imdbDisplay,13336,fr,4.86
1890,tt0792948,['nm0109885'],"['nm0886125', 'nm1346056', 'nm2226143', 'nm1036278', 'nm1981935', 'nm0324078', 'nm0324078', 'nm2222189', 'nm1048115', 'nm2261296', 'nm2395940']",The Exterminating Angels,2006,100,"['Drama', 'Fantasy']",5.4,3469,Les anges exterminateurs,imdbDisplay,19976,fr,4.86
1891,tt10307724,['nm0894173'],"['nm0430629', 'nm4469165', 'nm0954704', 'nm1731624', 'nm4670981', 'nm5524273', 'nm1227864', 'nm2082567', 'nm12492115', 'nm10574611']",Madame Claude,2021,112,"['Biography', 'Crime', 'Drama']",5.4,4196,Madame Claude,imdbDisplay,660006,fr,4.86
1892,tt1850394,['nm0196860'],"['nm0305296', 'nm0547339', 'nm0239498', 'nm0255362', 'nm0823536', 'nm0066080', 'nm1082477', 'nm3380189', 'nm0046404', 'nm1078628']",The Dream Team,2012,97,"['Comedy', 'Sport']",5.4,3990,Les seigneurs,imdbDisplay,133469,fr,4.86
1893,tt6290418,['nm0044310'],"['nm2124745', 'nm1739904', 'nm2362660', 'nm0414185', 'nm0006939', 'nm1065166', 'nm1936081', 'nm1361364', 'nm0396599', 'nm2847284']","To Each, Her Own",2018,95,"['Comedy', 'Drama']",5.4,1996,Les goûts et les couleurs,imdbDisplay,531736,fr,4.86
1894,tt7654872,['nm0000809'],"['nm0452161', 'nm1246047', 'nm0000367', 'nm0000809', 'nm0187676', 'nm2473241', 'nm0041434', 'nm10264855', 'nm3231987', 'nm7283109']",The Other Woman,2018,84,"['Comedy', 'Drama', 'Romance']",5.4,1961,Amoureux de ma femme,imdbDisplay,499722,fr,4.86
1895,tt1077097,"['nm0066080', 'nm0431956']","['nm0066080', 'nm0431956', 'nm1969934', 'nm0001965', 'nm0000218', 'nm0536095', 'nm0046347', 'nm1082477', 'nm0856493', 'nm1755988']",2 Alone in Paris,2008,94,['Comedy'],5.4,2824,Seuls Two,imdbDisplay,13741,fr,4.86
1896,tt11206302,['nm3851426'],"['nm3851426', 'nm3743617', 'nm5033444', 'nm3053855', 'nm0305296', 'nm0154707', 'nm3372724', 'nm0548169', 'nm0480524', 'nm8654891']",30 jours max,2020,87,"['Action', 'Comedy', 'Crime']",5.4,2130,30 jours max,imdbDisplay,613377,fr,4.86
1897,tt9850344,['nm0284774'],"['nm1812637', 'nm1082477', 'nm1687610', 'nm1818216', 'nm2489799', 'nm0057843', 'nm1148206', 'nm4854875', 'nm0714229', 'nm0896631']",Night Shift,2020,98,"['Crime', 'Drama', 'Thriller']",5.4,2118,Police,imdbDisplay,660330,fr,4.86
1898,tt0081614,['nm0357807'],"['nm0856672', 'nm0778327', 'nm0241493', 'nm0199281', 'nm0785836', 'nm0154007', 'nm0617736', 'nm0434499', 'nm0717887', 'nm0894608']",Tender Cousins,1980,90,"['Comedy', 'Drama', 'Romance']",5.4,2284,Tendres cousines,imdbDisplay,73134,fr,4.86
1899,tt1793931,['nm0057842'],"['nm0746162', 'nm0620964', 'nm0618795', 'nm3676680', 'nm2124745', 'nm4544506', 'nm0067949', 'nm1268968', 'nm4218746', 'nm1675534']",The Tuche Family,2011,95,['Comedy'],5.4,4077,Les Tuche,imdbDisplay,66129,fr,4.86
1900,tt0402130,['nm0545876'],"['nm0305368', 'nm0880484', 'nm0491259', 'nm0865333', 'nm1574565', 'nm0539022', 'nm6874334', 'nm1717383', 'nm0075682', 'nm6874335']",The Last Day,2004,104,"['Drama', 'Romance']",6.0,1165,Le Dernier Jour,imdbDisplay,8772,fr,4.800000000000001
1901,tt0094596,['nm0106924'],"['nm0954943', 'nm0157255', 'nm0663227', 'nm0529543', 'nm0231716', 'nm0836681', 'nm0068843', 'nm0094948', 'nm0602209', 'nm0377779']",36 fillette,1988,88,"['Drama', 'Romance']",6.0,1497,36 fillette,imdbDisplay,465,fr,4.800000000000001
1902,tt4746516,['nm0220774'],"['nm1194748', 'nm2650819', 'nm4296971', 'nm8240641', 'nm0504267', 'nm2605345', 'nm0245164', 'nm0530365', 'nm3588254', 'nm0402234']",Orphan,2016,111,"['Crime', 'Drama', 'Thriller']",6.0,1509,Orpheline,imdbDisplay,408509,fr,4.800000000000001
1903,tt2104080,['nm1557889'],"['nm2176554', 'nm0180404', 'nm2537631', 'nm0218615', 'nm3118835', 'nm1363886', 'nm1581208', 'nm0439748', 'nm1784515', 'nm3217783']",Radiostars,2012,100,"['Comedy', 'Drama']",6.0,1494,Radiostars,imdbDisplay,100830,fr,4.800000000000001
1904,tt0088714,['nm0958558'],"['nm0000521', 'nm0404091', 'nm0001409', 'nm0419838', 'nm0097625', 'nm0016703', 'nm0023749', 'nm0239286', 'nm0549201', 'nm0819024']",Mad Love,1985,101,"['Comedy', 'Drama', 'Romance']",6.0,1489,L'amour braque,imdbDisplay,98927,fr,4.800000000000001
1905,tt0107175,['nknow'],"['nm0000367', 'nm0556504', 'nm0894302', 'nm0024935', 'nm0087141', 'nm0087141', 'nm0079405', 'nm0314593', 'nm0516582', 'nm0738788', 'nm0184318']","Oh, Woe Is Me",1993,95,"['Comedy', 'Drama', 'Fantasy']",6.0,1586,Hélas pour moi,imdbDisplay,52713,fr,4.800000000000001
1906,tt7600706,['nm1656178'],"['nm0895759', 'nm1871951', 'nm6995530', 'nm11177467', 'nm2041367', 'nm5943170', 'nm11177468', 'nm11177469', 'nm11177470', 'nm5015775']",Perfect Nanny,2019,100,"['Crime', 'Drama']",6.0,1762,Chanson douce,imdbDisplay,582895,fr,4.800000000000001
1907,tt7205630,"['nm0218022', 'nm1086956']","['nm0241121', 'nm0603446', 'nm1130898', 'nm1417249', 'nm12752157', 'nm2002983', 'nm9101181', 'nm0078326', 'nm0845386', 'nm0332640']",I Feel Good,2018,103,"['Comedy', 'Drama']",6.0,1480,I Feel Good,imdbDisplay,495671,fr,4.800000000000001
1908,tt1183672,['nm0029242'],"['nm0220183', 'nm0000366', 'nm0003508', 'nm0218843', 'nm0253813', 'nm0245164', 'nm1879679', 'nm3105646', 'nm0146436', 'nm1462233']",The Girl on the Train,2009,97,['Drama'],6.0,1677,La fille du RER,imdbDisplay,41248,fr,4.800000000000001
1909,tt10366428,['nm0070899'],"['nm0239498', 'nm0484005', 'nm0589569', 'nm10337268', 'nm4213429', 'nm8789965', 'nm6113836', 'nm0077449', 'nm5297490', 'nm2457148']",Family Swap,2020,100,['Comedy'],6.0,1044,Le sens de la famille,imdbDisplay,606236,fr,4.800000000000001
1910,tt0062997,['nknow'],"['nm0000419', 'nm0078155', 'nm0529543']",Le gai savoir,1969,95,['Drama'],6.0,1195,Le gai savoir,imdbDisplay,51205,fr,4.800000000000001
1911,tt3612984,['nm0609981'],"['nm1812637', 'nm1326732', 'nm0830802', 'nm0609981', 'nm0087111', 'nm6077431', 'nm0190211', 'nm2202788', 'nm4399360', 'nm6368502']",Caprice,2015,100,"['Comedy', 'Romance']",6.0,1109,Caprice,imdbDisplay,334299,fr,4.800000000000001
